"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)"
"_ClothMetallicSmoothnessMapInvert","Invert Smoothness","Invertir suavidad","Glätte umkehren","滑らかさを反転","부드러움 반전","反转光滑度"
"_ClothMetallicSmoothnessMapUV","UV","UV","UV","UV","UV","UV"
"_ClothLerp","Clothmask Lerp","Interpolación (Lerp) de masas de tela","Stoffmaske Lerp","布仮面のラープ","천 마스크 Lerp","布料遮罩插值"
"_ClothReflectance","Reflectance","Reflectancia","Reflexion","反射率","반사율","反射率"
"_ClothSmoothness","Smoothness","Suavidad","Glätte","滑らかさ","부드러움","光滑度"
"_SDFShadingTexture","SDF","Textura de sombreado SDF","SDF","SDF","SDF","SDF 阴影纹理"
"_SDFShadingTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_SDFShadingTextureUV","UV","UV","UV","UV","UV","UV"
"_SDFBlur","Blur","Desenfoque","Verwischen","ぼかし","블러","模糊"
"_SDFForward","Forward Direction","Dirección frontal","Vorwärtsrichtung","順方向","전방","前向方向"
"_SDFLeft","Left Direction","Dirección izquierda","Linke Richtung","左方向","좌방","左向方向"
"_ShadowStrength","Shadow Strength","Intensidad de la sombra","Schattenstärke","影の強さ","그림자 강도","阴影强度"
"_LightingIgnoreAmbientColor","Ignore Indirect Shadow Color","Ignorar el color de la luz ambiental","Ignorieren Sie die indirekte Schattenfarbe","間接的な影の色を無視","간접 그림자 색상 무시","忽略间接阴影颜色"
"_LightingAdditiveType","Lighting Type","Tipo de iluminación","Beleuchtungstyp","光源の種類","조명 유형","光照类型"
"_LightingAdditiveGradientStart","Gradient Start","Inicio de gradiente","Gradientenstart","グラデーションの開始地点","그라데이션 시작","渐变开始"
"_LightingAdditiveGradientEnd","Gradient End","Final de gradiente","Gradient Ende","グラデーションの終了地点","그라데이션 끝","渐变结束"
"m_start_Aniso","Anisotropics","Anisotropía ","Anisotrope","異方性光","이방성","各向异性 (Anisotropy)"
"_EnableAniso","Enable Aniso","Activar anisotropía","Aktivieren Sie Aniso","アニソを有効にする","이방성 활성화","启用各向异性"
"_AnisoColorMap","Color & Offset","Mapa de color y desplazamiento","Farbe & Versatz","カラー＆オフセット","색상 & 오프셋","颜色 & 偏移"
"_AnisoColorMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_AnisoColorMapUV","UV","UV","UV","UV","UV","UV"
"_AnisoUseLightColor","Mix Light Color","Mezclar con color de la luz","Lichtfarbe mischen","光源を混ぜる","라이트 색상 혼합","混合光照颜色"
"_AnisoUseBaseColor","Mix Base Color","Mezclar con color base","Grundfarbe mischen","ベースカラーを混ぜる","베이스 색상 혼합","混合基础颜色"
"_AnisoReplace","Replace Blending","Reemplazar","Mischen ersetzen","ブレンディングを置き換える","블렌드 교체","替换混合"
"_AnisoAdd","Add Blending","Agregar","Mischen hinzufügen","ブレンディングを追加","블렌드 추가","添加混合"
"_AnisoHideInShadow","Hide In Shadow","Ocultar en la sombra","Im Schatten verstecken","影で隠れる","그림자에서 숨기기","在阴影中隐藏"
"_Aniso0Power","Power","Potencia","Leistung","力","파워","强度"
"_Aniso0Strength","Strength","Intensidad","Stärke","強さ","강도","力度"
"_Aniso0Offset","Offset","Desplazamiento ","Versatz","オフセット","오프셋","偏移"
"_Aniso0OffsetMapStrength","Map Offset Strength","Intensidad del mapa de desplazamiento ","Map-Offset-Stärke","マップ オフセットの強さ","맵 오프셋 강도","偏移图强度"
"_Aniso0Tint","Tint","Tinte","Farbton","色合い","틴트","色调"
"_Aniso0SwitchDirection","Switch Direction","Cambiar dirección","Richtung wechseln","方向を切り替える","방향 전환","切换方向"
"_Aniso0ToonMode","Stylized Mode","Modo estilizado (Toon Mode)","Mode zeigennl","Toonモード","툰 모드","卡通模式"
"_Aniso0Edge","Edge","Borde","Kante","角","가장자리","边缘"
"_Aniso0Blur","Blur","Desenfoque","Verwischen","ぼかし","블러","模糊"
"_Aniso1Power","Power","Potencia","Leistung","力","파워","强度"
"_Aniso1Strength","Strength","Intensidad","Stärke","強さ","강도","力度"
"_Aniso1Offset","Offset","Desplazamiento ","Versatz","オフセット","오프셋","偏移"
"_Aniso1OffsetMapStrength","Map Offset Strength","Intensidad del mapa de desplazamiento ","Map-Offset-Stärke","マップ オフセットの強さ","맵 오프셋 강도","偏移图强度"
"_Aniso1Tint","Tint","Tinte","Farbton","色合い","틴트","色调"
"_Aniso1SwitchDirection","Switch Direction","Cambiar dirección","Richtung wechseln","方向を切り替える","방향 전환","切换方向"
"_Aniso1ToonMode","Stylized Mode","Modo estilizado (Toon Mode)","Mode zeigennl","Toonモード","툰 모드","卡通模式"
"_Aniso1Edge","Edge","Borde","Kante","角","가장자리","边缘"
"_Aniso1Blur","Blur","Desenfoque","Verwischen","ぼかし","블러","模糊"
"_AnisoDebugToggle","Debug Toggle","Activar depuración","Debuggen","デバッグ","디버그","调试"
"_AnisoDebugMode","Debug Mode","Modo depuración","Visualisieren","視覚化する","시각화","可视化"
"m_start_matcap","Matcap 0","Captura de material (MatCap 0)","Matcap 0","マットキャップ 0","맷캡(금속) 0","MatCap 0"
"_MatcapEnable","Enable Matcap}","Activar MatCap","Matcap aktivieren","マットキャップを有効にする","맷캡(금속) 활성화","启用 MatCap"
"_MatcapUVMode","UV Mode","Modo UV","UV-Modus","UVモード","UV 모드","UV 模式"
"_MatcapColor","Color","Color","Farbe","色","색상","颜色"
"_Matcap","Matcap","MatCap","Matcap","マットキャップ","Matcap","MatCap"
"_MatcapBorder","Border","Borde","Grenze","境界","경계","边界"
"_MatcapMask","Mask","Máscara","Maske","マスク","마스크","遮罩"
"_MatcapMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_MatcapMaskUV","UV","UV","UV","UV","UV","UV"
"_MatcapMaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道"
"_MatcapMaskInvert","Invert","Invertir","Umkehren","反転","반전","反转"
"_MatcapMaskGlobalMask","Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩"
"_MatcapMaskGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_MatcapEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","방출 강도","发光强度"
"_MatcapIntensity","Intensity","Intensidad","Intensität","明るさ","강도","亮度"
"_MatcapLightMask","Hide in Shadow","Ocultar en la sombra","Im Schatten verstecken","影で隠れる","그림자에서 숨기기","在阴影中隐藏"
"_MatcapReplace","Replace","Reemplazar","Mischung ersetzen","ブレンドを置換","블렌드 교체","替换混合"
"_MatcapMultiply","Multiply","Multiplicar","Mischung multiplizieren","乗算ブレンド","블렌드 곱하기","乘法混合"
"_MatcapAdd","Add","Agregar","Mischung hinzufügen","ブレンドを追加","블렌드 추가","添加混合"
"_MatcapMixed","Mixed","Combinar","Gemischte Mischung","混合ブレンド","혼합 블렌드","混合混合"
"_MatcapAddToLight","Unlit Add","Agregar a la luz","Zum Licht hinzufügen","ライトに追加","라이트에 추가","添加到光照"
"_MatcapAlphaOverride","Override Alpha","Anular alfa","Alpha überschreiben","アルファを無視する","알파 덮어쓰기","覆盖 Alpha"
"_MatcapNormal","Normal Strength","Normal a usar","Normal zu verwenden","使用するノーマル","사용할 노멀","使用的法线"
"_Matcap0CustomNormal","Custom Normal","<size=13><b>Normal personalizado </b></size>","<size=13><b> Benutzerdefiniert Normal</b></size>","<size=13><b>カスタムノーマル(法線)</b></size>","<size=13><b>사용자 정의 노멀</b></size>","<size=13><b>自定义法线</b></size>"
"_Matcap0NormalMap","Normal Map","Mapa de normales","Normale Textur","ノーマルマップ (法線マップ)","노멀 맵","法线贴图"
"_Matcap0NormalMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_Matcap0NormalMapUV","UV","UV","UV","UV","UV","UV"
"_Matcap0NormalMapScale","Intensity","Intensidad","Intensität","明るさ","강도","强度"
"_MatcapHueShiftEnabled","Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>"
"_MatcapHueShiftSpeed","Shift Speed","Velocidad del cambio","Schaltgeschwindigkeit","シフトスピード","시프트 속도","偏移速度"
"_MatcapHueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移"
"_MatcapTPSDepthEnabled","TPS Depth Mask Enabled","<size=13><b>Máscara de profundidad TPS activada </b></size>","<size=13><b>TPS-Tiefenmaske aktiviert</b></size>","<size=13><b>TPS 深度マスク有効</b></size>","<size=13><b>TPS 깊이 마스크 활성화됨</b></size>","<size=13><b>启用 TPS 深度遮罩</b></size>"
"_MatcapTPSMaskStrength","TPS Mask Strength","Intensidad de la máscara TPS","Stärke der TPS-Maske","TPS マスクの強さ","TPS 마스크 강도","TPS 遮罩强度"
"m_start_Matcap2","Matcap 1","Captura de material (MatCap 1)","Matcap 1","マットキャップ 1","맷캡(금속) 1","MatCap 1"
"_Matcap2Enable","Enable Matcap 2","Activar MatCap","Aktivieren Sie Matcap 2","マットキャップ 2 を有効にする","맷캡(금속) 2 활성화","启用 MatCap 2"
"_Matcap2UVMode","UV Mode","Modo UV","UV-Modus","UVモード","UV 모드","UV 模式"
"_Matcap2Color","Color","Color","Farbe","色","색상","颜色"
"_Matcap2","Matcap","MatCap","Matcap","マットキャップ","맷캡(금속)","MatCap"
"_Matcap2Border","Border","Borde","Grenze","境界","경계","边界"
"_Matcap2Mask","Mask","Máscara","Maske","マスク","마스크","遮罩"
"_Matcap2MaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_Matcap2MaskUV","UV","UV","UV","UV","UV","UV"
"_Matcap2MaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道"
"_Matcap2MaskInvert","Invert","Invertir","Umkehren","反転","반전","反转"
"_Matcap2MaskGlobalMask","Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩"
"_Matcap2MaskGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_Matcap2EmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","방출 강도","发光强度"
"_Matcap2Intensity","Intensity","Intensidad","Intensität","明るさ","강도","亮度"
"_Matcap2LightMask","Hide in Shadow","Ocultar en la sombra","Im Schatten verstecken","影で隠れる","그림자에서 숨기기","在阴影中隐藏"
"_Matcap2Replace","Replace","Reemplazar","Mischung ersetzen","ブレンドを置換","블렌드 교체","替换混合"
"_Matcap2Multiply","Multiply","Multiplicar","Mischung multiplizieren","乗算ブレンド","블렌드 곱하기","乘法混合"
"_Matcap2Add","Add","Agregar","Mischung hinzufügen","ブレンドを追加","블렌드 추가","添加混合"
"_Matcap2Mixed","Mixed","Combinar","Gemischte Mischung","混合ブレンド","혼합 블렌드","混合混合"
"_Matcap2AddToLight","Unlit Add","Agregar a la luz","Zum Licht hinzufügen","ライトに追加","라이트에 추가","添加到光照"
"_Matcap2AlphaOverride","Override Alpha","Anular alfa","Alpha überschreiben","アルファを無視する","알파 덮어쓰기","覆盖 Alpha"
"_Matcap2Normal","Normal Strength","Normal a usar","Normal zu verwenden","使用するノーマル","사용할 노멀","使用的法线"
"_Matcap1CustomNormal","Custom Normal","<size=13><b>Normal personalizado </b></size>","Benutzerdefiniert Normal","カスタムノーマル(法線)","사용자 정의 노멀","<size=13><b>自定义法线</b></size>"
"_Matcap1NormalMap","Normal Map","Mapa de normales","Normale Textur","ノーマルマップ (法線マップ)","노멀 맵","法线贴图"
"_Matcap1NormalMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_Matcap1NormalMapUV","UV","UV","UV","UV","UV","UV"
"_Matcap1NormalMapScale","Intensity","Intensidad","Intensität","明るさ","강도","强度"
"_Matcap2HueShiftEnabled","Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>"
"_Matcap2HueShiftSpeed","Shift Speed","Velocidad del cambio","Schaltgeschwindigkeit","シフトスピード","시프트 속도","偏移速度"
"_Matcap2HueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移"
"_Matcap2TPSDepthEnabled","TPS Depth Mask Enabled","<size=13><b>Máscara de profundidad TPS activada </b></size>","<size=13><b>TPS-Tiefenmaske aktiviert</b></size>","<size=13><b>TPS 深度マスク有効</b></size>","<size=13><b>TPS 깊이 마스크 활성화됨</b></size>","<size=13><b>启用 TPS 深度遮罩</b></size>"
"_Matcap2TPSMaskStrength","TPS Mask Strength","Intensidad de la máscara TPS","Stärke der TPS-Maske","TPS マスクの強さ","TPS 마스크 강도","TPS 遮罩强度"
"m_start_Matcap3","Matcap 2","Captura de material (MatCap 2)","Mattkappe 2","マットキャップ 2","맷캡(금속) 2","MatCap 2"
"_Matcap3Enable","Enable Matcap 2","Activar MatCap","Aktivieren Sie Matcap 2","マットキャップ 2 を有効にする","맷캡(금속) 2 활성화","启用 MatCap 2"
"_Matcap3UVMode","UV Mode","Modo UV","UV-Modus","UVモード","UV 모드","UV 模式"
"_Matcap3Color","Color","Color","Farbe","色","색상","颜色"
"_Matcap3","Matcap","MatCap","Matcap","マットキャップ","맷캡(금속)","MatCap"
"_Matcap3Border","Border","Borde","Grenze","境界","경계","边界"
"_Matcap3Mask","Mask","Máscara","Maske","マスク","마스크","遮罩"
"_Matcap3MaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道"
"_Matcap3MaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_Matcap3MaskUV","UV","UV","UV","UV","UV","UV"
"_Matcap3MaskInvert","Invert","Invertir","Umkehren","反転","반전","反转"
"_Matcap3MaskGlobalMask","Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩"
"_Matcap3MaskGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_Matcap3EmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","방출 강도","发光强度"
"_Matcap3Intensity","Intensity","Intensidad","Intensität","明るさ","강도","亮度"
"_Matcap3LightMask","Hide in Shadow","Ocultar en la sombra","Im Schatten verstecken","影で隠れる","그림자에서 숨기기","在阴影中隐藏"
"_Matcap3Replace","Replace","Reemplazar","Mischung ersetzen","ブレンドを置換","블렌드 교체","替换混合"
"_Matcap3Multiply","Multiply","Multiplicar","Mischung multiplizieren","乗算ブレンド","블렌드 곱하기","乘法混合"
"_Matcap3Add","Add","Agregar","Mischung hinzufügen","ブレンドを追加","블렌드 추가","添加混合"
"_Matcap3Mixed","Mixed","Combinar","Gemischte Mischung","混合ブレンド","혼합 블렌드","混合混合"
"_Matcap3AddToLight","Unlit Add","Agregar a la luz","Zum Licht hinzufügen","ライトに追加","라이트에 추가","添加到光照"
"_Matcap3AlphaOverride","Override Alpha","Anular alfa","Alpha überschreiben","アルファを無視する","알파 덮어쓰기","覆盖 Alpha"
"_Matcap3Normal","Normal Strength","Normal a usar","Normal zu verwenden","使用するノーマル","사용할 노멀","使用的法线"
"_Matcap2CustomNormal","Custom Normal","<size=13><b>Normal personalizado </b></size>","Benutzerdefiniert Normal","カスタムノーマル(法線)","사용자 정의 노멀","<size=13><b>自定义法线</b></size>"
"_Matcap2NormalMap","Normal Map","Mapa de normales","Normale Textur","ノーマルマップ (法線マップ)","노멀 맵","法线贴图"
"_Matcap2NormalMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_Matcap2NormalMapUV","UV","UV","UV","UV","UV","UV"
"_Matcap2NormalMapScale","Intensity","Intensidad","Intensität","明るさ","강도","强度"
"_Matcap3HueShiftEnabled","Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>"
"_Matcap3HueShiftSpeed","Shift Speed","Velocidad del cambio","Schaltgeschwindigkeit","シフトスピード","시프트 속도","偏移速度"
"_Matcap3HueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移"
"_Matcap3TPSDepthEnabled","TPS Depth Mask Enabled","<size=13><b>Máscara de profundidad TPS activada </b></size>","<size=13><b>TPS-Tiefenmaske aktiviert</b></size>","<size=13><b>TPS 深度マスク有効</b></size>","<size=13><b>TPS 깊이 마스크 활성화됨</b></size>","<size=13><b>启用 TPS 深度遮罩</b></size>"
"_Matcap3TPSMaskStrength","TPS Mask Strength","Intensidad de la máscara TPS","Stärke der TPS-Maske","TPS マスクの強さ","TPS 마스크 강도","TPS 遮罩强度"
"m_start_Matcap4","Matcap 3","Captura de material (MatCap 3)","Matcap 3","マットキャップ 3","맷캡(금속) 3","MatCap 3"
"_Matcap4Enable","Enable Matcap 3","Activar MatCap","Aktivieren Sie Matcap 3","マットキャップ 3 を有効にする","맷캡(금속) 3 활성화","启用 MatCap 3"
"_Matcap4UVMode","UV Mode","Modo UV","UV-Modus","UVモード","UV 모드","UV 模式"
"_Matcap4Color","Color","Color","Farbe","色","색상","颜色"
"_Matcap4","Matcap","MatCap","Matcap","マットキャップ","맷캡(금속)","MatCap"
"_Matcap4Border","Border","Borde","Grenze","境界","경계","边界"
"_Matcap4Mask","Mask","Máscara","Maske","マスク","마스크","遮罩"
"_Matcap4MaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_Matcap4MaskUV","UV","UV","UV","UV","UV","UV"
"_Matcap4MaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道"
"_Matcap4MaskInvert","Invert","Invertir","Umkehren","反転","반전","反转"
"_Matcap4MaskGlobalMask","Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩"
"_Matcap4MaskGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_Matcap4EmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","방출 강도","发光强度"
"_Matcap4Intensity","Intensity","Intensidad","Intensität","明るさ","강도","亮度"
"_Matcap4LightMask","Hide in Shadow","Ocultar en la sombra","Im Schatten verstecken","影で隠れる","그림자에서 숨기기","在阴影中隐藏"
"_Matcap4Replace","Replace","Reemplazar","Mischung ersetzen","ブレンドを置換","블렌드 교체","替换混合"
"_Matcap4Multiply","Multiply","Multiplicar","Mischung multiplizieren","乗算ブレンド","블렌드 곱하기","乘法混合"
"_Matcap4Add","Add","Agregar","Mischung hinzufügen","ブレンドを追加","블렌드 추가","添加混合"
"_Matcap4Mixed","Mixed","Combinar","Gemischte Mischung","混合ブレンド","혼합 블렌드","混合混合"
"_Matcap4AddToLight","Unlit Add","Agregar a la luz","Zum Licht hinzufügen","ライトに追加","라이트에 추가","添加到光照"
"_Matcap4AlphaOverride","Override Alpha","Anular alfa","Alpha überschreiben","アルファを無視する","알파 덮어쓰기","覆盖 Alpha"
"_Matcap4Normal","Normal Strength","Normal a usar","Normal zu verwenden","使用するノーマル","사용할 노멀","使用的法线"
"_Matcap3CustomNormal","Custom Normal","<size=13><b>Normal personalizado </b></size>","Benutzerdefiniert Normal","カスタムノーマル(法線)","사용자 정의 노멀","<size=13><b>自定义法线</b></size>"
"_Matcap3NormalMap","Normal Map","Mapa de normales","Normale Textur","ノーマルマップ (法線マップ)","노멀 맵","法线贴图"
"_Matcap3NormalMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_Matcap3NormalMapUV","UV","UV","UV","UV","UV","UV"
"_Matcap3NormalMapScale","Intensity","Intensidad","Intensität","強さ","강도","强度"
"_Matcap4HueShiftEnabled","Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>"
"_Matcap4HueShiftSpeed","Shift Speed","Velocidad del cambio","Schaltgeschwindigkeit","シフトスピード","시프트 속도","偏移速度"
"_Matcap4HueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移"
"_Matcap4TPSDepthEnabled","TPS Depth Mask Enabled","<size=13><b>Máscara de profundidad TPS activada </b></size>","<size=13><b>TPS-Tiefenmaske aktiviert</b></size>","<size=13><b>TPS 深度マスク有効</b></size>","<size=13><b>TPS 깊이 마스크 활성화됨</b></size>","<size=13><b>启用 TPS 深度遮罩</b></size>"
"_Matcap4TPSMaskStrength","TPS Mask Strength","Intensidad de la máscara TPS","Stärke der TPS-Maske","TPS マスク強度","TPS 마스크 강도","TPS 遮罩强度"
"m_start_CubeMap","CubeMap","Mapa cúbico (CubeMap)","WürfelTextur","キューブマップ","큐브맵","CubeMap反射设置"
"_CubeMapEnabled","Enable CubeMap","Activar","CubeMap aktivieren","キューブマップを有効にする","큐브맵 활성화","启用CubeMap贴图"
"_CubeMapUVMode","UV Mode","Modo UV","UV-Modus","UVモード","UV 모드","UV 模式"
"_CubeMapWorldNormalsStrength","Normals Strength","Intensidad de normales globales","Normale Stärke","ノーマル(法線)の強さ","노멀 강도","法线强度"
"_CubeMapColor","Color","Color","Farbe","色","색상","颜色"
"_CubeMap","CubeMap","Textura de mapa cúbico","WürfelTextur","キューブマップ","큐브맵","CubeMap贴图"
"_CubeMapRotation","Rotation in Degrees","Rotación en grados","Drehung in Grad","度単位の回転","도 단위 회전","旋转度数"
"_CubeMapRotationPan","Panning in Degrees","Barrido en grados","Bewegung in Grad","度単位でのパン","도 단위 패닝","以度数平移"
"_CubeMapMask","Mask","Máscara","Maske","マスク","마스크","遮罩"
"_CubeMapMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_CubeMapMaskUV","UV","UV","UV","UV","UV","UV"
"_CubeMapMaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道"
"_CubeMapMaskInvert","Invert","Invertir","Umkehren","反転","반전","反转"
"_CubeMapMaskGlobalMask","Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩"
"_CubeMapMaskGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合模式"
"_CubeMapEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","방출 강도","发光强度"
"_CubeMapIntensity","Brightness","Intensidad del color","Farbstärke","色の濃さ","색상 강도","亮度"
"_CubeMapLightMask","Hide in Shadow","Ocultar en la sombra","Im Schatten verstecken","影で隠れる","그림자에서 숨기기","在阴影中隐藏"
"_CubeMapReplace","","Reemplazar","Durch CubeMap ersetzen","キューブマップで置換","큐브맵으로 교체","使用立方体贴图替换"
"_CubeMapMultiply","","Multiplicar","CubeMap multiplizieren","キューブマップの乗算","큐브맵 곱하기","立方体贴图乘法"
"_CubeMapAdd","","Agregar","CubeMap hinzufügen","キューブマップを追加","큐브맵 추가","添加立方体贴图"
"_CubeMapNormal","Normal to use","Normal a usar","Normal zu verwenden","使用するノーマル","사용할 노멀","使用的法线"
"_CubeMapHueShiftEnabled","Enabled","Activar cambio de tono","Ermöglicht","有効","활성화됨","启用色相偏移"
"_CubeMapHueShiftSpeed","Hue Shift Speed","Velocidad del cambio","Schaltgeschwindigkeit","シフトスピード","시프트 속도","偏移速度"
"_CubeMapHueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移"
"m_start_rimLightOptions","","Iluminación del contorno","Felgenbeleuchtung","リムライト設定","림 라이트 설정","Rim Light 0"
"m_start_rimLight1Options","Rim Lighting 0","Iluminación del contorno 1","Felgenbeleuchtung 1","リムライティング 1","림 라이팅 1","Rim Light 0 设置"
"_EnableRimLighting","Enable Rim Lighting","Activar iluminación del contorno","Randbeleuchtung aktivieren","リムライティングを有効にする","림 라이팅 활성화","启用Rim Light"
"_RimStyle","Style","Estilo","Stil","スタイル","스타일","样式"
"_RimTex","Rim Texture","Textura del contorno","Felgenstruktur","リムの質感","림 텍스처","纹理"
"_RimTexPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_RimTexUV","UV","UV","UV","UV","UV","UV"
"_RimMask","Mask & Bias","Máscara","Randmaske","リムマスク","림 마스크","Rim遮罩"
"_RimMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_RimMaskUV","UV","UV","UV","UV","UV","UV"
"_RimMaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道"
"_RimGlobalMask","Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩"
"_RimGlobalMaskBlendType","Blending","Mezcla","Mischen","ブレンディング","블렌딩","混合"
"_Is_NormalMapToRimLight","Normal Strength","Intensidad de las normales","Normale Stärke","ノーマルマップ(法線マップ)の強さ","노멀 맵 강도","法线强度"
"_RimLightingInvert","Invert Rim","Invertir iluminación del contorno","Randbeleuchtung umkehren","リムライティングを反転","림 라이팅 반전","反转Rim"
"_RimLightColor","Color","Color del contorno","Felgenfarbe","リムの色","림 색상","颜色"
"_RimWidth","Width","Ancho del contorno","Felgenbreite","リムの幅","림 너비","宽度"
"_RimSharpness","Sharpness","Nitidez del contorno","Felgenschärfe","リムのぼかし","림 선명도","清晰度"
"_RimPower","Rim Power","Potencia del contorno","Felgenkraft","リムの強さ","림 파워","强度"
"_RimStrength","Emission","Emisión del contorno","Rim-Emission","リムの明るさ","림 방출","发光"
"_RimBaseColorMix","Mix Base Color","Mezclar color base","Grundfarbe mischen","ベースカラーを混合する","베이스 색상 혼합","混合基础色"
"_RimBlendMode","Blend Mode","Modo de mezcla","Mischmodus","ブレンドモード","블렌드 모드","混合模式"
"_RimBrightness","Brightness","Brillo","Helligkeit","明るさ","밝기","亮度"
"_RimBlendStrength","Blend Alpha","Intensidad de la mezcla","Mischungsstärke","ブレンドの強さ","블렌드 강도","混合强度"
"_RimClamp","","Limitar intensidad (Clamp)","Klammerintensität","クランプの強さ","클램프 강도","强度限制 (Clamp)"
"_RimApplyGlobalMaskIndex","Apply to Global Mask","Aplicar a la máscara global","Bewerben Sie sich bei Global Mask","グローバルマスクに適用","글로벌 마스크에 적용","应用到全局遮罩"
"_RimApplyGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_Set_RimLightMask","Set_RimLightMask","Establecer máscara de la iluminación del cotorno","Set_RimLightMask","リムライトマスクを設定","림 라이트 마스크 설정","设置边缘光遮罩"
"_Tweak_RimLightMaskLevel","Tweak_RimLightMaskLevel","Ajuste del nivel de la máscara","Tweak_RimLightMaskLevel","リムライトマスクの微調整","림 라이트 마스크 레벨 조정","微调边缘光遮罩等级"
"_Is_LightColor_RimLight","Mix Light Color","Mezclar con color de luz","Lichtfarbe mischen","光源を混ぜる","라이트 색상 혼합","混合光源颜色"
"_RimLight_Power","Rim Power","Potencia del contorno","Felgenkraft","リムパワー","림 파워","强度"
"_RimLight_InsideMask","Inside Mask","Máscara interior","Innere Maske","インサイドマスク","내부 마스크","内部遮罩"
"_RimLight_FeatherOff","Feather Off","Desactivar suavizado","Feder ab","フェザーオフ","페더 끄기","关闭模糊"
"_LightDirection_MaskOn","Light Direction Mask","<size=13><b>Máscara por dirección de luz </b></size>","<size=13><b>Lichtrichtungsmaske</b></size>","<size=13><b>光の方向マスク</b></size>","<size=13><b>빛 방향 마스크</b></size>","<size=13><b>光照方向遮罩</b></size>"
